TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;11  AVENUE TRUDAINE;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.345516263472959, 48.88166539264047]], ""type"": ""MultiPoint""}";48.88166539264047,2.345516263472959
SANISETTE;;PLACE DU COLONEL FABIEN;75010;6 h - 22 h;Oui;;;"{""coordinates"": [[2.37008389883369, 48.87798177436245]], ""type"": ""MultiPoint""}";48.87798177436245,2.37008389883369
SANISETTE;;face au 1 RUE DE METZ;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.354561497762248, 48.87075131711197]], ""type"": ""MultiPoint""}";48.87075131711197,2.354561497762248
TOILETTES;;SQUARE D'ANVERS;75009;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-d-anvers-2468;"{""coordinates"": [[2.34413295595609, 48.88238662258446]], ""type"": ""MultiPoint""}";48.88238662258446,2.34413295595609
TOILETTES;;JARDIN DAMIA;75011;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-damia-2734;"{""coordinates"": [[2.394009135967313, 48.8547522453211]], ""type"": ""MultiPoint""}";48.8547522453211,2.394009135967313
TOILETTES;;JARDIN CASQUE D'OR;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-casque-d-or-2713;"{""coordinates"": [[2.401213775616216, 48.85392001443604]], ""type"": ""MultiPoint""}";48.85392001443604,2.401213775616216
TOILETTES;;BOIS DE BOULOGNE - PARC DE BAGATELLE - GRILLE D'HONNEUR;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-de-bagatelle-1808;"{""coordinates"": [[2.248019578481179, 48.86883301602136]], ""type"": ""MultiPoint""}";48.86883301602136,2.248019578481179
TOILETTES;;JARDIN BRASSAI;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-brassai-2571;"{""coordinates"": [[2.349436628957497, 48.828587086078144]], ""type"": ""MultiPoint""}";48.828587086078144,2.349436628957497
URINOIR;;JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR;75005;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-tino-rossi-1786;"{""coordinates"": [[2.360430216680337, 48.8476257789993]], ""type"": ""MultiPoint""}";48.8476257789993,2.360430216680337
TOILETTES;;SQUARE DE L'OISEAU LUNAIRE;75015;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-de-l-oiseau-lunaire-ex-blomet-2519;"{""coordinates"": [[2.305588174307816, 48.842135463891644]], ""type"": ""MultiPoint""}";48.842135463891644,2.305588174307816
TOILETTES;;SQUARE SUZANNE BUISSON;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-suzanne-buisson-2688;"{""coordinates"": [[2.337110158514507, 48.88837160641975]], ""type"": ""MultiPoint""}";48.88837160641975,2.337110158514507
SANISETTE;;11  PLACE DE LA BATAILLE DE STALINGRAD;75010;6 h - 22 h;Oui;;;"{""coordinates"": [[2.368742464268541, 48.88357327133696]], ""type"": ""MultiPoint""}";48.88357327133696,2.368742464268541
SANISETTE;;5  RUE DE MAZAGRAN;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.351378014817505, 48.87049160141798]], ""type"": ""MultiPoint""}";48.87049160141798,2.351378014817505
SANISETTE;;opposé au 16 PLACE DE LA NATION;75012;24 h / 24;Oui;;;"{""coordinates"": [[2.395482550580248, 48.84744480307578]], ""type"": ""MultiPoint""}";48.84744480307578,2.395482550580248
SANISETTE;;opposé au 8 AVENUE DE LA PORTE DE CHATILLON;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.318181171738439, 48.82384501587049]], ""type"": ""MultiPoint""}";48.82384501587049,2.318181171738439
SANISETTE;;face au 2 AVENUE EMILE ZOLA;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.277628065658754, 48.846243467271094]], ""type"": ""MultiPoint""}";48.846243467271094,2.277628065658754
SANISETTE;;face au 38 AVENUE RAPHAEL;75016;24 h / 24;Oui;;;"{""coordinates"": [[2.266699031575164, 48.85719279757156]], ""type"": ""MultiPoint""}";48.85719279757156,2.266699031575164
SANISETTE;;face au 1 AVENUE EMILE ET ARMAND MASSARD;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.297570046469314, 48.88888267432093]], ""type"": ""MultiPoint""}";48.88888267432093,2.297570046469314
SANISETTE;;25  AVENUE DE CLICHY;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.326343623788707, 48.88565931519143]], ""type"": ""MultiPoint""}";48.88565931519143,2.326343623788707
SANISETTE;;face au 118 BOULEVARD DE CLICHY;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.330274997441431, 48.8843823956645]], ""type"": ""MultiPoint""}";48.8843823956645,2.330274997441431
SANISETTE;;87  RUE DE LA CHAPELLE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.358915646050675, 48.89763161180878]], ""type"": ""MultiPoint""}";48.89763161180878,2.358915646050675
SANISETTE;;face au 51 PLACE ALBERT KAHN;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3460006044594532, 48.895774734607485]], ""type"": ""MultiPoint""}";48.895774734607485,2.3460006044594532
SANISETTE;;29  AVENUE MATHURIN MOREAU;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.373949704867119, 48.87844763612634]], ""type"": ""MultiPoint""}";48.87844763612634,2.373949704867119
SANISETTE;;12  AVENUE DU PROFESSEUR ANDRE LEMIERE;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.415233912585556, 48.85532756366961]], ""type"": ""MultiPoint""}";48.85532756366961,2.415233912585556
SANISETTE;;64  RUE DU VOLGA;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.408988707402559, 48.85271966367163]], ""type"": ""MultiPoint""}";48.85271966367163,2.408988707402559
SANISETTE;;17  AVENUE VICTORIA;;24 h / 24;Oui;;;"{""coordinates"": [[2.346535672660024, 48.857970439927115]], ""type"": ""MultiPoint""}";48.857970439927115,2.346535672660024
SANISETTE;;109  BOULEVARD DE SEBASTOPOL;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.352726650613073, 48.86681987649092]], ""type"": ""MultiPoint""}";48.86681987649092,2.352726650613073
SANISETTE;;RUE D ARCOLE;;24 h / 24;Oui;;;"{""coordinates"": [[2.3492432036278, 48.853812057284806]], ""type"": ""MultiPoint""}";48.853812057284806,2.3492432036278
SANISETTE;;face au 75 bis RUE MONGE;;24 h / 24;Oui;;;"{""coordinates"": [[2.35207298397874, 48.84312297015192]], ""type"": ""MultiPoint""}";48.84312297015192,2.35207298397874
SANISETTE;;CHAMPS DE MARS avenue GENERAL FERRIE;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.296943316091291, 48.85718239169635]], ""type"": ""MultiPoint""}";48.85718239169635,2.296943316091291
TOILETTES;;SQUARE D'ESTIENNE D'ORVES;75009;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-d-estienne-d-orves-2472;"{""coordinates"": [[2.331288524740739, 48.87684278657475]], ""type"": ""MultiPoint""}";48.87684278657475,2.331288524740739
TOILETTES;;SQUARE ALEX BISCARRE;75009;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-alex-biscarre-2464;"{""coordinates"": [[2.336728381553657, 48.87858749857325]], ""type"": ""MultiPoint""}";48.87858749857325,2.336728381553657
TOILETTES;;SQUARE JULIETTE DODU;75010;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-juliette-dodu-2836;"{""coordinates"": [[2.369380499264761, 48.875669096203]], ""type"": ""MultiPoint""}";48.875669096203,2.369380499264761
TOILETTES;;SQUARE TROUSSEAU;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-trousseau-2576;"{""coordinates"": [[2.376966221720433, 48.85002192132091]], ""type"": ""MultiPoint""}";48.85002192132091,2.376966221720433
TOILETTES;;BOIS DE BOULOGNE - JARDIN DU PRE CATELAN;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-de-bagatelle-1808;"{""coordinates"": [[2.2523240882300373, 48.865617429829534]], ""type"": ""MultiPoint""}";48.865617429829534,2.2523240882300373
TOILETTES;;SQUARE SAINTE-ODILE;75017;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-sainte-odile-2642;"{""coordinates"": [[2.29358154028354, 48.88785096993109]], ""type"": ""MultiPoint""}";48.88785096993109,2.29358154028354
TOILETTES;;SQUARE LOUIS XIII;75004;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-louis-xiii-36;"{""coordinates"": [[2.365276631815183, 48.85522108368081]], ""type"": ""MultiPoint""}";48.85522108368081,2.365276631815183
TOILETTES;;PARC DE PASSY;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-de-passy-2625;"{""coordinates"": [[2.2829801125761, 48.8553646405576]], ""type"": ""MultiPoint""}";48.8553646405576,2.2829801125761
TOILETTES;;JARDIN DU 122 RUE DES POISSONNIERS;75018;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-122-rue-des-poissonniers-17468;"{""coordinates"": [[2.353273863532805, 48.89500623115916]], ""type"": ""MultiPoint""}";48.89500623115916,2.353273863532805
SANISETTE;;2  RUE DES ECLUSES SAINT MARTIN;75010;6 h - 1 h;Oui;;;"{""coordinates"": [[2.368177603725198, 48.876238731757724]], ""type"": ""MultiPoint""}";48.876238731757724,2.368177603725198
SANISETTE;;face au 48  BOULEVARD VOLTAIRE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.371039582240022, 48.86338089367277]], ""type"": ""MultiPoint""}";48.86338089367277,2.371039582240022
