,TYPE,STATUT,ADRESSE,ARRONDISSEMENT,HORAIRE,ACCES_PMR,RELAIS_BEBE,URL_FICHE_EQUIPEMENT,geo_shape,geo_point_2d,lon,lat
226,TOILETTES,,SQUARE EDOUARD VAILLANT,75020,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/square-edouard-vaillant-2691,"{""coordinates"": [[2.3999211355178423, 48.86624979612694]], ""type"": ""MultiPoint""}","48.86624979612694,2.3999211355178423",2.3999211355178423,48.86624979612694
227,TOILETTES,,SQUARE SARAH BERNHARDT,75020,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/square-sarah-bernhardt-1774,"{""coordinates"": [[2.403701838756763, 48.849620045031294]], ""type"": ""MultiPoint""}","48.849620045031294,2.403701838756763",2.403701838756763,48.849620045031294
228,TOILETTES,,SQUARE DES SAINTS-SIMONIENS - MENILMONTANT,75020,Voir fiche équipement,Non,Non,https://www.paris.fr/equipements/square-des-saint-simoniens-2694,"{""coordinates"": [[2.396969579365494, 48.8708534006859]], ""type"": ""MultiPoint""}","48.8708534006859,2.396969579365494",2.396969579365494,48.8708534006859
229,SANISETTE,,PLACE DE LA BASTILLE,75011,6h/22h,Oui,Non,,"{""coordinates"": [[2.370072634439651, 48.85331060980803]], ""type"": ""MultiPoint""}","48.85331060980803,2.370072634439651",2.370072634439651,48.85331060980803
230,SANISETTE,,82  AVENUE DE LA REPUBLIQUE,75011,6h/1h,Oui,Non,,"{""coordinates"": [[2.37952312138287, 48.86424208661518]], ""type"": ""MultiPoint""}","48.86424208661518,2.37952312138287",2.37952312138287,48.86424208661518
231,SANISETTE,,57  BOULEVARD DIDEROT,75012,6h/22h,Oui,Non,,"{""coordinates"": [[2.384207324504984, 48.84713481514029]], ""type"": ""MultiPoint""}","48.84713481514029,2.384207324504984",2.384207324504984,48.84713481514029
232,SANISETTE,,26  BOULEVARD DE REUILLY,75012,6h/22h,Oui,Non,,"{""coordinates"": [[2.392302587363353, 48.83916534421364]], ""type"": ""MultiPoint""}","48.83916534421364,2.392302587363353",2.392302587363353,48.83916534421364
233,SANISETTE,,53  BOULEVARD SAINT MARCEL,75013,6h/22h,Oui,Non,,"{""coordinates"": [[2.355645972582187, 48.837911595474374]], ""type"": ""MultiPoint""}","48.837911595474374,2.355645972582187",2.355645972582187,48.837911595474374
234,SANISETTE,,1  RUE EMILE LEVASSOR,75013,6h/22h,Oui,Non,,"{""coordinates"": [[2.369013887547498, 48.82124040430335]], ""type"": ""MultiPoint""}","48.82124040430335,2.369013887547498",2.369013887547498,48.82124040430335
235,SANISETTE,,103  BOULEVARD BRUNE,75014,6h/22h,Oui,Non,,"{""coordinates"": [[2.315053624154728, 48.825685892245296]], ""type"": ""MultiPoint""}","48.825685892245296,2.315053624154728",2.315053624154728,48.825685892245296
